Ano;Modalidade;Semestre;Centro;Curso;Turno;Ingressantes;Matriculados;Concluintes;Desligados;Trancados
2019;Presencial;1;CAA;Design - CAA;Noturno;40;322;15;28;33
2019;Presencial;1;CAA;Engenharia Civil - CAA;Integral;38;368;21;36;24
2019;Presencial;1;CAA;Engenharia de Produção - CAA;Integral;40;338;11;35;18
2019;Presencial;1;CAA;Física - CAA;Noturno;41;272;8;40;10
2019;Presencial;1;CAA;Matemática - CAA;Noturno;40;352;30;22;11
2019;Presencial;1;CAA;Medicina - CAA;Integral;81;452;0;0;4
2019;Presencial;1;CAA;Pedagogia - CAA;Noturno;41;285;14;20;5
2019;Presencial;1;CAA;Química - CAA;Noturno;40;293;19;32;10
2019;Presencial;1;CAC;Arquitetura e Urbanismo;Integral;50;497;42;22;19
2019;Presencial;1;CAC;Artes Visuais - Bacharelado;Matutino;20;20;0;0;0
2019;Presencial;1;CAC;Artes Visuais - Licenciatura;Integral;35;144;4;6;13
2019;Presencial;1;CAC;Biblioteconomia;vespertino;56;215;11;11;4
2019;Presencial;1;CAC;Cinema e Audiovisual;vespertino;0;155;5;10;10
2019;Presencial;1;CAC;Dança;Noturno;30;129;1;8;11
2019;Presencial;1;CAC;Design;Integral;34;316;28;16;14
2019;Presencial;1;CAC;Expressão Gráfica;Integral;29;88;1;6;7
2019;Presencial;1;CAC;Gestão da Informação;Noturno;54;206;11;11;9
2019;Presencial;1;CAC;Jornalismo;vespertino;48;192;5;8;12
2019;Presencial;1;CAC;Letras - Bacharelado;vespertino;30;134;8;4;7
2019;Presencial;1;CAC;Letras - Espanhol;Matutino;0;90;12;13;10
2019;Presencial;1;CAC;Letras - Espanhol;Noturno;30;95;0;4;6
2019;Presencial;1;CAC;Letras - Francês;vespertino;14;43;0;4;4
2019;Presencial;1;CAC;Letras - Inglês;Matutino;0;105;6;16;2
2019;Presencial;1;CAC;Letras - Libras;Matutino;0;104;17;7;2
2019;Presencial;1;CAC;Letras - Português;Noturno;31;146;6;8;7
2019;Presencial;1;CAC;Letras - Português;vespertino;0;217;12;17;17
2019;Presencial;1;CAC;Música;Integral;30;112;8;0;5
2019;Presencial;1;CAC;Música;Matutino;0;7;1;1;1
2019;Presencial;1;CAC;Música;Noturno;0;91;11;4;3
2019;Presencial;1;CAC;Música - Canto;Matutino;2;3;0;0;1
2019;Presencial;1;CAC;Música - Instrumento;Matutino;15;54;2;0;5
2019;Presencial;1;CAC;Publicidade e Propaganda;Matutino;0;169;32;7;3
2019;Presencial;1;CAC;Rádio, TV e Internet;Matutino;0;119;11;5;5
2019;Presencial;1;CAC;Teatro;Integral;34;137;1;7;6
2019;Presencial;1;CAV;Ciências Biológicas - CAV;Noturno;42;416;30;15;8
2019;Presencial;1;CAV;Educação Física - Bacharelado - CAV;Matutino;33;250;13;18;11
2019;Presencial;1;CAV;Educação Física - Licenciatura - CAV;vespertino;44;350;37;28;12
2019;Presencial;1;CAV;Enfermagem - CAV;Integral;30;271;33;3;2
2019;Presencial;1;CAV;Enfermagem - CAV;vespertino;0;2;0;0;0
2019;Presencial;1;CAV;Nutrição - CAV;Matutino;28;225;21;11;1
2019;Presencial;1;CAV;Saúde Coletiva - CAV;Noturno;29;186;11;18;9
2019;Presencial;1;CB;Biomedicina;Integral;58;440;34;28;20
2019;Presencial;1;CB;Ciências Biológicas - Bacharelado;Integral;50;414;26;28;16
2019;Presencial;1;CB;Ciências Biológicas - Ciências Ambientais;Integral;38;213;0;10;4
2019;Presencial;1;CB;Ciências Biológicas - Ciências Ambientais;vespertino;0;99;19;6;8
2019;Presencial;1;CB;Ciências Biológicas - Licenciatura;Noturno;48;373;19;15;19
2019;Presencial;1;CCEN;Estatística;Integral;30;106;4;10;2
2019;Presencial;1;CCEN;Física - Bacharelado;Integral;29;104;4;14;3
2019;Presencial;1;CCEN;Física - Licenciatura;Noturno;30;103;2;6;7
2019;Presencial;1;CCEN;Matemática - Bacharelado;Integral;29;79;2;9;7
2019;Presencial;1;CCEN;Matemática - Licenciatura;Noturno;41;146;5;12;9
2019;Presencial;1;CCEN;Química - Bacharelado;Integral;19;75;8;9;4
2019;Presencial;1;CCEN;Química - Licenciatura;Noturno;29;120;4;8;5
2019;Presencial;1;CCJ;Direito;Matutino;52;508;34;10;14
2019;Presencial;1;CCJ;Direito;Noturno;49;749;49;23;25
2019;Presencial;1;CCM;Medicina;Integral;72;842;76;3;5
2019;Presencial;1;CCS;Educação Física - Bacharelado;Integral;58;469;26;22;21
2019;Presencial;1;CCS;Educação Física - Licenciatura;Integral;59;467;20;23;18
2019;Presencial;1;CCS;Enfermagem;Integral;40;336;35;14;14
2019;Presencial;1;CCS;Farmácia;Integral;46;438;37;20;13
2019;Presencial;1;CCS;Fisioterapia;Integral;34;301;35;7;6
2019;Presencial;1;CCS;Fonoaudiologia;Integral;29;100;0;6;3
2019;Presencial;1;CCS;Nutrição;Integral;32;230;21;8;3
2019;Presencial;1;CCS;Odontologia;Integral;46;461;37;8;10
2019;Presencial;1;CCS;Odontologia;Noturno;19;192;13;3;2
2019;Presencial;1;CCS;Terapia Ocupacional;Integral;18;152;18;5;2
2019;Presencial;1;CCSA;Administração;Matutino;49;405;30;26;16
2019;Presencial;1;CCSA;Administração;Noturno;49;381;33;19;29
2019;Presencial;1;CCSA;Ciências Atuariais;Integral;29;105;0;12;8
2019;Presencial;1;CCSA;Ciências Contábeis;Noturno;49;369;14;38;35
2019;Presencial;1;CCSA;Ciências Contábeis;vespertino;57;455;30;25;28
2019;Presencial;1;CCSA;Ciências Econômicas;Matutino;59;262;6;28;23
2019;Presencial;1;CCSA;Ciências Econômicas;Noturno;64;263;7;19;36
2019;Presencial;1;CCSA;Hotelaria;Integral;0;92;4;12;13
2019;Presencial;1;CCSA;Secretariado;Noturno;59;343;22;33;13
2019;Presencial;1;CCSA;Serviço Social;Matutino;58;220;9;7;7
2019;Presencial;1;CCSA;Serviço Social;vespertino;0;185;23;19;8
2019;Presencial;1;CCSA;Turismo;Noturno;0;134;10;10;12
2019;Presencial;1;CCSA;Turismo;vespertino;34;162;8;10;6
