Ano;Modalidade;Semestre;Centro;Curso;Turno;Ingressantes;Matriculados;Concluintes;Desligados;Trancados
2020;Presencial;1;CAC;Artes Visuais - Bacharelado;Matutino;21;35;0;0;4
2020;Presencial;1;CAC;Artes Visuais - Licenciatura;Integral;35;150;6;13;10
2020;Presencial;1;CAC;Biblioteconomia;vespertino;54;209;12;12;8
2020;Presencial;1;CAC;Cinema e Audiovisual;vespertino;0;162;10;9;13
2020;Presencial;1;CAC;Dança;Noturno;32;135;4;7;11
2020;Presencial;1;CAC;Design;Integral;35;312;34;18;17
2020;Presencial;1;CAC;Expressão Gráfica;Integral;30;89;0;14;7
2020;Presencial;1;CAC;Gestão da Informação;Noturno;55;214;17;10;14
2020;Presencial;1;CAC;Jornalismo;vespertino;49;212;17;6;7
2020;Presencial;1;CAC;Letras - Bacharelado;vespertino;30;136;8;5;9
2020;Presencial;1;CAC;Letras - Espanhol;Matutino;0;83;3;14;4
2020;Presencial;1;CAC;Letras - Espanhol;Noturno;30;107;5;10;3
2020;Presencial;1;CAC;Letras - Francês;vespertino;14;50;1;6;2
